age,job,marital,education,balance,housing,loan,contact,campaign,previous,poutcome,subscribed
20,student,divorced,unknown,-1195,yes,no,cellular,24,2,nonexistent,no
54,retired,married,unknown,33868,yes,yes,telephone,38,4,failure,yes
68,services,divorced,secondary,32343,no,no,telephone,18,4,success,yes
24,student,divorced,secondary,75458,no,yes,cellular,9,4,success,no
38,admin,married,secondary,72327,yes,no,cellular,22,3,success,no
26,admin,married,unknown,33383,no,yes,telephone,38,3,nonexistent,no
56,admin,married,tertiary,13040,yes,no,telephone,21,3,nonexistent,yes
35,admin,divorced,primary,23187,no,no,telephone,7,2,nonexistent,no
21,technician,married,primary,60678,no,no,cellular,12,2,failure,no
42,student,single,tertiary,94396,yes,yes,telephone,36,2,success,yes
31,self-employed,married,unknown,24525,no,no,cellular,11,2,failure,yes
67,entrepreneur,single,unknown,36394,yes,no,cellular,3,2,failure,yes
26,retired,married,primary,88672,yes,yes,cellular,27,4,nonexistent,no
43,services,single,secondary,80546,yes,yes,telephone,7,4,failure,yes
70,management,single,secondary,61989,no,no,telephone,2,2,nonexistent,yes
19,unemployed,single,primary,37652,yes,yes,telephone,10,4,nonexistent,yes
37,admin,single,primary,75510,no,yes,telephone,3,2,success,no
45,services,single,tertiary,72402,yes,no,cellular,17,2,success,yes
64,unemployed,married,tertiary,47200,no,yes,cellular,43,2,failure,yes
24,entrepreneur,divorced,tertiary,81822,no,yes,telephone,1,4,failure,yes
61,services,divorced,tertiary,13015,no,yes,cellular,34,1,success,no
25,student,divorced,tertiary,58911,no,no,telephone,13,1,failure,yes
64,services,divorced,tertiary,90206,yes,yes,cellular,14,1,success,yes
52,admin,divorced,secondary,54221,yes,no,cellular,17,0,success,no
31,entrepreneur,single,primary,18695,yes,no,telephone,34,1,nonexistent,no
34,management,married,unknown,22805,yes,yes,cellular,17,1,success,yes
53,self-employed,single,tertiary,22190,no,no,cellular,41,1,success,no
67,blue-collar,married,secondary,5997,yes,no,cellular,25,3,nonexistent,yes
57,admin,married,primary,20752,no,no,telephone,44,2,nonexistent,no
21,unemployed,married,primary,16069,no,no,cellular,30,4,nonexistent,no
19,entrepreneur,married,primary,59485,yes,yes,cellular,48,3,nonexistent,no
23,student,divorced,tertiary,55291,yes,no,cellular,36,2,success,yes
71,technician,married,tertiary,28508,yes,no,telephone,11,1,success,no
59,entrepreneur,married,unknown,85053,yes,no,cellular,21,1,success,yes
21,unemployed,divorced,tertiary,49574,yes,yes,telephone,20,3,success,no
71,blue-collar,single,primary,49902,no,yes,telephone,29,4,success,yes
46,blue-collar,single,primary,60426,yes,no,cellular,4,3,success,no
35,retired,single,secondary,6524,yes,no,cellular,34,3,nonexistent,yes
43,self-employed,single,secondary,8071,yes,yes,cellular,42,2,success,yes
61,unemployed,married,unknown,39466,no,yes,cellular,41,0,nonexistent,yes
51,blue-collar,divorced,secondary,84132,yes,yes,cellular,17,4,nonexistent,yes
27,retired,divorced,unknown,48094,no,no,cellular,12,4,success,yes
53,retired,single,secondary,73317,no,yes,telephone,4,3,nonexistent,no
31,retired,divorced,primary,38239,no,yes,cellular,41,3,success,yes
48,entrepreneur,married,tertiary,45560,yes,no,cellular,14,1,failure,no
65,retired,single,tertiary,98295,no,no,telephone,4,3,nonexistent,no
32,admin,married,unknown,43924,no,yes,cellular,34,2,failure,no
25,unemployed,married,tertiary,52542,no,no,cellular,18,1,nonexistent,no
31,admin,married,tertiary,90375,yes,no,telephone,13,0,success,no
40,technician,married,secondary,47264,no,no,telephone,10,2,success,yes
74,blue-collar,married,primary,65799,yes,yes,cellular,14,4,success,no
57,self-employed,single,tertiary,88538,no,no,telephone,9,4,success,yes
38,retired,married,primary,36022,no,no,telephone,43,2,nonexistent,yes
33,student,single,secondary,89178,yes,no,telephone,20,3,success,no
62,student,divorced,secondary,33579,no,no,telephone,1,3,failure,yes
35,blue-collar,married,tertiary,10571,no,no,cellular,44,3,nonexistent,no
64,technician,married,tertiary,80753,no,no,telephone,29,4,failure,yes
70,student,divorced,secondary,46225,yes,no,cellular,17,2,success,yes
41,admin,single,secondary,5227,yes,no,cellular,49,3,success,no
43,services,married,unknown,39189,yes,no,telephone,8,1,success,yes
42,entrepreneur,divorced,unknown,12207,no,yes,cellular,17,4,nonexistent,yes
62,management,divorced,primary,76208,no,no,telephone,21,2,failure,yes
58,student,married,secondary,51406,no,no,telephone,25,2,success,no
46,self-employed,single,primary,39783,yes,no,telephone,20,2,success,no
32,retired,single,secondary,98822,yes,no,telephone,25,2,success,yes
62,self-employed,married,primary,83587,yes,no,cellular,21,0,nonexistent,yes
18,unemployed,divorced,unknown,26879,no,no,cellular,13,1,nonexistent,no
42,entrepreneur,married,secondary,26845,yes,yes,telephone,13,0,success,yes
24,admin,single,secondary,8015,yes,no,telephone,47,3,failure,no
26,technician,divorced,primary,80961,no,no,cellular,30,0,success,no
41,entrepreneur,married,primary,19496,yes,yes,cellular,13,0,nonexistent,yes
18,management,divorced,tertiary,-1293,no,yes,telephone,40,4,success,no
61,services,single,tertiary,15767,no,yes,telephone,7,2,failure,no
25,student,single,unknown,24467,yes,no,telephone,42,0,nonexistent,yes
41,technician,single,secondary,81222,yes,no,cellular,12,2,failure,no
28,technician,married,secondary,5118,no,no,telephone,2,1,failure,yes
68,student,divorced,primary,61884,yes,no,telephone,14,0,success,yes
34,student,married,unknown,9213,no,no,cellular,42,4,nonexistent,no
25,student,married,secondary,95021,yes,no,telephone,17,4,nonexistent,no
52,student,married,unknown,79037,yes,yes,telephone,13,3,nonexistent,yes
52,student,married,tertiary,6868,no,no,cellular,1,0,failure,no
50,technician,divorced,primary,49716,no,no,cellular,47,1,nonexistent,yes
22,blue-collar,divorced,secondary,92869,yes,yes,cellular,1,2,failure,yes
59,blue-collar,married,primary,40523,yes,no,cellular,47,0,nonexistent,yes
56,self-employed,married,tertiary,32028,no,yes,telephone,26,3,success,yes
58,blue-collar,single,unknown,8545,yes,yes,cellular,47,4,failure,no
45,management,single,unknown,-1643,yes,yes,cellular,46,0,success,yes
24,blue-collar,divorced,tertiary,19788,yes,yes,telephone,13,3,success,no
26,technician,single,tertiary,99538,no,no,cellular,34,1,success,yes
25,student,divorced,secondary,14802,yes,no,cellular,40,2,success,yes
29,retired,divorced,secondary,52739,yes,no,cellular,9,1,failure,yes
51,retired,divorced,secondary,83875,yes,no,telephone,19,1,nonexistent,yes
50,management,single,secondary,-407,no,no,cellular,23,2,failure,no
65,unemployed,single,secondary,2602,no,no,telephone,41,0,success,yes
72,technician,divorced,unknown,73113,yes,yes,cellular,28,2,success,yes
40,admin,divorced,secondary,93865,no,yes,telephone,30,3,nonexistent,no
41,entrepreneur,married,tertiary,8943,no,yes,telephone,7,1,success,yes
54,self-employed,divorced,tertiary,31012,yes,yes,cellular,14,2,failure,no
52,admin,divorced,secondary,68108,yes,yes,telephone,2,4,failure,yes
61,technician,married,tertiary,14250,no,no,cellular,12,2,failure,yes
57,blue-collar,divorced,primary,80169,yes,no,cellular,43,2,failure,yes
39,student,divorced,unknown,42053,yes,yes,telephone,49,3,success,yes
44,admin,divorced,unknown,37388,yes,yes,telephone,2,1,nonexistent,yes
52,entrepreneur,married,secondary,89707,yes,no,telephone,28,3,failure,yes
18,unemployed,single,primary,69405,no,no,telephone,28,3,success,yes
52,retired,divorced,secondary,69507,no,no,telephone,12,4,failure,yes
54,unemployed,married,secondary,47662,yes,no,telephone,30,3,nonexistent,yes
64,entrepreneur,divorced,tertiary,59311,yes,no,telephone,47,3,success,no
31,student,married,unknown,77493,no,yes,telephone,40,4,failure,yes
20,blue-collar,divorced,primary,69504,yes,yes,cellular,40,0,nonexistent,no
18,entrepreneur,married,tertiary,84789,yes,yes,cellular,22,3,success,no
22,self-employed,single,unknown,89477,yes,no,telephone,18,2,success,no
43,entrepreneur,single,unknown,54657,no,yes,telephone,14,3,failure,no
72,technician,single,secondary,71183,yes,yes,cellular,25,1,success,yes
31,blue-collar,divorced,primary,23499,yes,yes,telephone,10,2,success,yes
56,student,married,secondary,29785,yes,no,telephone,36,2,failure,yes
44,retired,divorced,tertiary,79993,yes,no,telephone,48,0,failure,yes
26,retired,divorced,secondary,72536,yes,no,cellular,48,1,success,yes
32,entrepreneur,married,secondary,50030,no,no,cellular,49,1,failure,no
32,technician,divorced,unknown,35909,yes,yes,cellular,9,1,failure,no
43,admin,married,unknown,32894,no,yes,cellular,11,3,success,no
59,unemployed,married,tertiary,82124,no,no,telephone,27,3,failure,yes
30,unemployed,single,unknown,70006,yes,no,telephone,13,2,nonexistent,yes
68,unemployed,single,unknown,13473,yes,no,cellular,1,0,success,no
49,admin,single,unknown,79697,yes,yes,cellular,39,3,success,no
56,technician,married,secondary,18063,yes,no,cellular,11,3,nonexistent,no
66,unemployed,single,primary,76444,yes,yes,telephone,3,0,failure,no
69,self-employed,married,tertiary,9850,yes,no,cellular,2,1,failure,yes
49,admin,divorced,secondary,-1016,yes,no,cellular,46,2,failure,no
21,admin,single,tertiary,48450,yes,no,telephone,42,3,success,no
47,student,married,secondary,54700,yes,yes,telephone,24,0,failure,no
54,student,married,tertiary,70723,yes,no,cellular,20,0,failure,no
40,blue-collar,married,unknown,91392,no,yes,cellular,49,1,success,no
56,self-employed,married,tertiary,18339,yes,yes,telephone,40,4,success,yes
62,self-employed,single,primary,36481,yes,no,telephone,15,4,failure,no
32,blue-collar,single,tertiary,62351,yes,yes,cellular,6,4,nonexistent,no
60,self-employed,single,primary,50839,no,no,telephone,20,4,success,no
46,management,married,tertiary,62236,no,no,cellular,22,3,nonexistent,no
53,services,divorced,unknown,77619,no,no,cellular,2,0,nonexistent,yes
30,unemployed,married,tertiary,46287,yes,no,telephone,15,2,success,no
49,student,divorced,secondary,58306,no,yes,cellular,48,3,nonexistent,no
24,blue-collar,single,unknown,50197,yes,yes,telephone,34,4,failure,yes
68,blue-collar,married,unknown,23435,yes,no,telephone,46,2,nonexistent,yes
39,self-employed,married,secondary,65621,no,no,cellular,31,2,failure,no
45,admin,single,unknown,28837,yes,yes,telephone,30,4,success,yes
19,retired,married,unknown,79719,no,yes,telephone,28,2,failure,yes
59,entrepreneur,divorced,secondary,33495,no,yes,cellular,33,3,success,yes
62,entrepreneur,divorced,unknown,96680,no,yes,cellular,41,1,nonexistent,yes
74,blue-collar,divorced,unknown,37760,yes,no,telephone,49,3,success,yes
70,unemployed,married,unknown,20084,yes,yes,cellular,21,3,failure,no
23,management,married,unknown,35458,yes,yes,cellular,46,1,success,yes
45,unemployed,divorced,tertiary,49946,yes,no,telephone,23,4,nonexistent,yes
45,blue-collar,married,unknown,64601,no,no,telephone,42,4,nonexistent,yes
61,unemployed,divorced,unknown,67218,yes,yes,cellular,13,1,failure,no
61,student,single,unknown,57351,no,no,telephone,45,3,failure,yes
37,unemployed,divorced,tertiary,45561,yes,yes,cellular,26,0,success,no
47,self-employed,single,primary,48203,no,no,cellular,19,2,failure,yes
28,self-employed,single,unknown,96024,no,yes,cellular,27,2,success,no
72,management,single,primary,94996,yes,no,cellular,40,2,failure,no
45,student,divorced,primary,6820,no,yes,telephone,7,0,nonexistent,no
42,retired,divorced,secondary,55232,yes,no,telephone,25,3,nonexistent,yes
56,admin,married,secondary,16757,yes,yes,telephone,49,4,failure,no
50,student,married,primary,44588,no,no,telephone,40,1,success,no
18,technician,single,tertiary,86682,yes,no,telephone,36,2,nonexistent,no
74,services,divorced,unknown,6058,no,no,cellular,7,0,success,yes
44,blue-collar,married,unknown,86388,yes,no,cellular,20,1,nonexistent,no
74,technician,married,unknown,77654,no,no,cellular,24,3,failure,yes
69,management,married,secondary,34742,no,yes,telephone,28,0,failure,no
30,technician,divorced,secondary,70195,yes,no,cellular,49,0,failure,yes
58,self-employed,married,unknown,54980,yes,no,telephone,5,1,nonexistent,yes
20,unemployed,single,primary,68377,no,yes,telephone,36,1,failure,no
56,admin,divorced,secondary,16335,yes,yes,cellular,31,2,failure,yes
23,entrepreneur,married,unknown,45351,no,no,cellular,33,3,failure,no
25,blue-collar,married,primary,83841,yes,no,telephone,24,1,success,yes
44,entrepreneur,divorced,unknown,66960,no,no,telephone,10,2,failure,yes
26,unemployed,married,secondary,45501,yes,yes,cellular,38,2,success,no
54,self-employed,married,tertiary,53877,no,no,telephone,44,1,success,yes
50,self-employed,single,tertiary,12538,yes,yes,cellular,49,0,nonexistent,yes
68,unemployed,divorced,secondary,1769,yes,yes,cellular,5,0,failure,yes
59,blue-collar,married,primary,29586,no,yes,telephone,31,0,nonexistent,yes
61,entrepreneur,divorced,unknown,89983,no,no,cellular,9,2,failure,yes
41,student,divorced,secondary,83551,no,no,telephone,32,0,success,yes
32,self-employed,single,primary,98614,no,no,telephone,41,3,nonexistent,no
71,entrepreneur,single,unknown,65879,no,no,cellular,5,0,success,no
49,retired,divorced,unknown,66922,no,yes,cellular,27,0,failure,no
49,entrepreneur,single,secondary,50219,yes,no,telephone,28,2,nonexistent,no
41,retired,single,unknown,33107,yes,yes,cellular,43,4,failure,yes
58,retired,married,tertiary,-1317,no,no,telephone,12,3,nonexistent,no
69,self-employed,single,tertiary,88987,yes,yes,telephone,5,2,failure,yes
66,blue-collar,single,unknown,64590,no,no,cellular,8,3,success,no
66,management,married,secondary,59097,yes,no,cellular,17,3,success,yes
69,self-employed,married,unknown,87131,no,yes,cellular,8,0,nonexistent,yes
29,blue-collar,divorced,secondary,61402,no,no,cellular,34,3,failure,no
56,blue-collar,single,secondary,83934,yes,no,cellular,23,0,failure,yes
19,technician,married,tertiary,21685,no,yes,cellular,18,3,success,yes
20,unemployed,single,tertiary,63884,yes,yes,telephone,10,4,nonexistent,no
66,unemployed,divorced,primary,92426,yes,yes,telephone,39,3,failure,yes
54,unemployed,single,secondary,14362,yes,yes,telephone,41,1,failure,yes
66,services,single,unknown,97326,yes,no,cellular,44,0,success,no
73,self-employed,single,secondary,88561,yes,no,cellular,44,4,failure,yes
34,blue-collar,married,tertiary,-1497,yes,yes,cellular,5,0,success,no
66,technician,married,secondary,39045,yes,no,telephone,43,4,nonexistent,yes
19,retired,divorced,primary,11576,yes,no,cellular,17,0,failure,yes
19,management,single,unknown,31290,yes,yes,cellular,47,1,failure,no
45,management,divorced,secondary,58495,yes,yes,cellular,11,1,success,no
71,retired,divorced,unknown,9884,no,no,telephone,47,4,success,no
40,entrepreneur,married,unknown,49660,yes,no,telephone,48,2,failure,yes
54,entrepreneur,single,tertiary,23205,yes,yes,telephone,19,0,success,yes
49,unemployed,single,secondary,61739,no,yes,cellular,21,2,success,no
50,self-employed,divorced,unknown,30785,no,yes,cellular,44,3,nonexistent,yes
18,services,single,tertiary,-732,no,no,telephone,3,1,success,no
36,technician,married,primary,64712,no,yes,telephone,40,0,failure,no
19,management,divorced,primary,16016,yes,yes,telephone,43,1,success,no
70,unemployed,divorced,secondary,59939,yes,no,cellular,1,3,failure,yes
61,admin,married,unknown,76281,yes,yes,cellular,24,4,failure,no
43,unemployed,married,secondary,75497,no,yes,telephone,36,0,success,yes
49,admin,married,unknown,99917,no,yes,telephone,6,0,failure,yes
23,student,married,tertiary,47266,yes,no,cellular,10,0,nonexistent,yes
49,blue-collar,married,primary,39712,no,no,telephone,47,4,nonexistent,no
72,retired,married,primary,4768,yes,yes,telephone,40,1,failure,yes
21,blue-collar,divorced,primary,57214,no,no,telephone,46,4,nonexistent,yes
72,unemployed,single,primary,16972,no,yes,telephone,34,1,success,yes
28,blue-collar,single,secondary,96625,yes,no,cellular,24,0,success,no
73,technician,divorced,unknown,71162,yes,no,cellular,23,4,success,yes
34,student,single,secondary,61412,yes,yes,cellular,20,3,failure,no
55,services,single,tertiary,43281,no,yes,telephone,38,4,success,no
41,student,divorced,primary,26403,no,no,telephone,35,1,success,no
22,management,single,unknown,92568,yes,no,cellular,34,0,failure,yes
69,technician,single,secondary,28226,yes,no,telephone,46,1,nonexistent,no
51,blue-collar,divorced,unknown,47985,yes,no,cellular,47,2,success,yes
23,services,single,secondary,26783,no,yes,telephone,36,0,failure,yes
39,blue-collar,married,unknown,71939,no,no,telephone,16,3,nonexistent,no
28,self-employed,divorced,unknown,93155,yes,yes,telephone,23,3,nonexistent,yes
65,self-employed,single,primary,66155,yes,yes,cellular,44,2,nonexistent,yes
33,entrepreneur,single,secondary,64883,yes,no,cellular,49,1,success,no
50,student,married,tertiary,66700,no,no,telephone,1,3,nonexistent,yes
26,services,divorced,unknown,77095,no,no,telephone,9,1,nonexistent,yes
23,self-employed,divorced,tertiary,25788,yes,yes,cellular,12,0,nonexistent,no
33,entrepreneur,single,primary,97214,no,yes,cellular,37,4,success,yes
46,technician,married,tertiary,5166,yes,no,cellular,17,0,failure,yes
20,services,married,unknown,33219,yes,no,telephone,3,1,nonexistent,no
37,entrepreneur,married,unknown,63441,yes,no,cellular,38,2,failure,no
53,retired,married,unknown,-1597,no,yes,telephone,29,0,nonexistent,no
36,services,married,secondary,73569,yes,yes,cellular,31,3,nonexistent,no
43,unemployed,married,tertiary,25224,yes,no,telephone,35,0,success,yes
20,entrepreneur,divorced,secondary,81610,no,yes,cellular,38,0,nonexistent,yes
36,blue-collar,single,unknown,1485,yes,yes,cellular,26,0,nonexistent,yes
37,unemployed,single,unknown,72984,yes,yes,cellular,13,2,failure,no
49,retired,married,primary,63491,yes,yes,cellular,19,1,success,no
24,self-employed,divorced,primary,84208,yes,no,cellular,32,2,failure,yes
69,admin,divorced,unknown,76946,no,no,cellular,47,3,failure,no
58,entrepreneur,married,secondary,12262,no,no,cellular,27,1,failure,no
50,technician,single,secondary,91296,yes,yes,telephone,39,3,failure,no
57,entrepreneur,married,unknown,73370,no,no,telephone,13,1,success,yes
56,admin,divorced,tertiary,95815,no,no,telephone,34,1,nonexistent,yes
35,retired,married,secondary,25928,no,yes,cellular,19,0,success,no
57,retired,single,unknown,61179,no,yes,telephone,19,0,nonexistent,yes
18,unemployed,single,primary,84365,no,yes,telephone,3,2,nonexistent,no
28,services,divorced,unknown,86379,no,no,telephone,3,1,failure,no
45,technician,married,secondary,32712,no,no,cellular,26,3,nonexistent,yes
74,unemployed,married,unknown,83491,no,yes,cellular,6,0,success,no
42,technician,divorced,tertiary,32328,yes,no,cellular,13,3,nonexistent,yes
67,technician,married,tertiary,29632,yes,no,cellular,46,0,success,no
40,admin,divorced,secondary,35515,yes,yes,cellular,38,1,success,no
48,unemployed,married,unknown,60074,yes,yes,telephone,27,3,success,yes
47,technician,single,tertiary,70690,yes,no,telephone,41,2,nonexistent,no
59,management,divorced,tertiary,62947,yes,no,cellular,24,2,failure,no
52,admin,married,primary,26170,yes,yes,telephone,10,2,success,no
24,retired,married,secondary,44857,yes,yes,telephone,16,0,failure,yes
33,admin,married,primary,47744,no,yes,telephone,23,0,success,no
43,blue-collar,divorced,primary,94699,yes,yes,telephone,47,2,nonexistent,yes
65,blue-collar,single,tertiary,75621,yes,no,cellular,12,3,success,no
74,technician,married,unknown,90780,no,no,cellular,28,0,nonexistent,yes
69,unemployed,divorced,primary,3327,no,no,telephone,13,2,nonexistent,no
66,retired,married,secondary,59246,yes,no,cellular,18,0,nonexistent,no
19,admin,single,secondary,80675,yes,no,telephone,2,4,nonexistent,no
18,unemployed,single,unknown,89411,yes,yes,cellular,46,3,failure,yes
65,admin,single,secondary,31264,no,yes,telephone,17,1,nonexistent,no
29,admin,divorced,primary,76596,yes,yes,cellular,23,3,success,no
22,management,married,unknown,13656,no,yes,telephone,23,1,failure,yes
54,blue-collar,divorced,secondary,16805,yes,no,cellular,1,2,failure,no
49,admin,married,secondary,97902,no,no,telephone,43,0,failure,no
72,management,divorced,primary,26855,no,yes,telephone,14,2,failure,yes
26,blue-collar,married,primary,2127,no,no,telephone,12,1,success,yes
58,management,divorced,primary,59722,yes,yes,telephone,14,4,nonexistent,no
52,unemployed,married,primary,36319,yes,no,telephone,49,1,success,no
36,services,divorced,unknown,67126,no,no,cellular,44,0,nonexistent,no
65,blue-collar,single,unknown,10973,no,no,cellular,38,4,failure,no
33,self-employed,divorced,unknown,80381,no,no,telephone,41,0,failure,no
20,services,single,tertiary,46087,yes,no,telephone,44,4,failure,no
37,unemployed,single,primary,55711,no,no,cellular,49,0,failure,yes
41,admin,married,primary,25281,yes,no,telephone,16,1,nonexistent,no
71,retired,single,unknown,14549,yes,yes,cellular,34,1,failure,no
73,unemployed,single,secondary,59426,no,yes,telephone,18,1,nonexistent,yes
50,management,married,secondary,25623,no,no,cellular,48,1,failure,yes
41,management,divorced,primary,98032,yes,yes,telephone,10,4,success,no
69,management,divorced,primary,87616,yes,yes,telephone,19,3,failure,yes
28,management,single,unknown,2697,yes,yes,telephone,30,3,nonexistent,yes
66,unemployed,divorced,primary,13730,no,yes,telephone,4,2,nonexistent,yes
25,retired,single,secondary,26245,yes,yes,telephone,7,3,success,yes
53,entrepreneur,divorced,secondary,42134,yes,no,telephone,16,2,nonexistent,yes
55,management,divorced,primary,29313,no,no,cellular,37,1,success,yes
57,entrepreneur,divorced,unknown,82093,yes,no,telephone,5,0,failure,yes
37,retired,single,unknown,63573,no,yes,cellular,39,3,failure,yes
52,retired,married,secondary,51595,no,yes,telephone,49,3,failure,no
65,services,divorced,unknown,27908,no,no,cellular,33,1,nonexistent,yes
42,blue-collar,divorced,secondary,65557,no,yes,telephone,35,1,failure,yes
52,self-employed,divorced,primary,37648,no,no,cellular,48,3,failure,no
42,technician,single,secondary,35289,no,no,cellular,34,1,failure,no
46,self-employed,married,primary,60710,no,yes,telephone,33,3,failure,yes
35,unemployed,single,unknown,6839,no,yes,telephone,39,0,failure,no
63,technician,divorced,tertiary,94541,no,yes,telephone,10,0,nonexistent,no
35,retired,single,tertiary,66838,yes,no,telephone,3,2,nonexistent,yes
19,self-employed,divorced,tertiary,6511,no,no,cellular,29,3,nonexistent,yes
71,student,divorced,secondary,84527,yes,no,telephone,35,0,nonexistent,no
52,blue-collar,single,tertiary,73450,yes,no,telephone,31,0,failure,yes
33,self-employed,divorced,secondary,7948,no,yes,cellular,39,4,nonexistent,no
58,blue-collar,divorced,unknown,42638,no,no,telephone,15,0,success,yes
53,entrepreneur,married,primary,91890,no,yes,telephone,1,2,failure,yes
50,unemployed,single,tertiary,3873,yes,no,cellular,19,0,failure,yes
21,blue-collar,single,secondary,29461,no,no,telephone,37,1,success,no
50,entrepreneur,divorced,unknown,71034,yes,no,telephone,27,4,nonexistent,yes
31,management,divorced,unknown,87092,yes,no,cellular,21,3,success,no
38,entrepreneur,single,tertiary,96142,yes,no,telephone,7,2,nonexistent,no
65,unemployed,single,unknown,25091,no,no,telephone,43,0,success,no
37,services,single,unknown,69171,no,yes,telephone,33,3,failure,yes
73,management,divorced,unknown,50999,yes,no,cellular,2,0,nonexistent,no
25,retired,married,secondary,31532,yes,yes,telephone,14,4,nonexistent,yes
24,admin,married,unknown,20690,yes,yes,cellular,42,3,nonexistent,yes
20,entrepreneur,divorced,unknown,15036,yes,no,cellular,3,1,failure,no
34,entrepreneur,divorced,unknown,43040,no,no,telephone,14,1,nonexistent,no
50,blue-collar,divorced,unknown,54196,no,no,cellular,5,3,success,yes
65,retired,single,unknown,45911,yes,yes,telephone,17,1,nonexistent,no
29,self-employed,divorced,secondary,42562,yes,yes,telephone,39,2,nonexistent,no
68,student,single,unknown,8321,yes,yes,telephone,1,4,failure,yes
39,technician,married,unknown,27152,no,yes,cellular,43,2,success,no
72,entrepreneur,divorced,primary,83884,no,no,telephone,28,3,success,yes
39,self-employed,divorced,unknown,84531,yes,yes,cellular,38,2,success,yes
63,student,single,unknown,52911,no,yes,cellular,48,4,nonexistent,yes
47,technician,single,secondary,88298,no,yes,cellular,14,4,nonexistent,yes
55,admin,single,unknown,-1855,yes,yes,telephone,17,3,failure,yes
55,blue-collar,married,secondary,68637,no,no,cellular,15,2,failure,yes
62,self-employed,married,tertiary,2247,no,no,cellular,46,4,nonexistent,yes
68,blue-collar,divorced,unknown,73114,no,no,cellular,7,3,success,yes
71,technician,divorced,primary,67724,no,no,cellular,42,4,success,yes
25,services,single,secondary,95310,no,no,cellular,7,0,nonexistent,yes
44,entrepreneur,married,tertiary,61289,no,yes,cellular,47,0,success,no
44,management,divorced,primary,41547,yes,yes,telephone,24,4,success,no
51,student,single,secondary,696,yes,yes,cellular,26,3,nonexistent,no
38,retired,single,tertiary,60041,yes,yes,telephone,14,0,failure,yes
47,unemployed,married,primary,17713,no,yes,telephone,47,4,nonexistent,yes
50,entrepreneur,married,unknown,42549,no,no,telephone,19,1,failure,no
45,management,divorced,primary,41548,no,yes,cellular,26,2,success,yes
64,unemployed,divorced,primary,50633,yes,no,telephone,16,4,failure,yes
50,self-employed,single,primary,94411,yes,no,telephone,34,0,failure,no
